CustomerID,Lookalikes
C0001,"[('C0050', 0.53), ('C0100', 0.53), ('C0105', 0.52)]"
C0002,"[('C0109', 0.54), ('C0079', 0.53), ('C0117', 0.52)]"
C0003,"[('C0181', 0.62), ('C0186', 0.56), ('C0067', 0.55)]"
C0004,"[('C0063', 0.46), ('C0070', 0.44), ('C0076', 0.38)]"
C0005,"[('C0096', 0.67), ('C0192', 0.64), ('C0072', 0.63)]"
C0006,"[('C0058', 0.68), ('C0040', 0.66), ('C0046', 0.43)]"
C0007,"[('C0020', 0.58), ('C0031', 0.44), ('C0079', 0.42)]"
C0008,"[('C0165', 0.48), ('C0169', 0.42), ('C0143', 0.38)]"
C0009,"[('C0140', 0.79), ('C0156', 0.72), ('C0112', 0.71)]"
C0010,"[('C0029', 0.89), ('C0092', 0.87), ('C0083', 0.84)]"
C0011,"[('C0135', 0.6), ('C0173', 0.42), ('C0108', 0.37)]"
C0012,"[('C0164', 0.69), ('C0173', 0.63), ('C0128', 0.62)]"
C0013,"[('C0058', 0.56), ('C0040', 0.54), ('C0131', 0.49)]"
C0014,"[('C0128', 0.57), ('C0159', 0.44), ('C0136', 0.32)]"
C0015,"[('C0073', 0.55), ('C0036', 0.47), ('C0179', 0.45)]"
C0016,"[('C0052', 0.67), ('C0064', 0.67), ('C0187', 0.66)]"
C0017,"[('C0146', 0.49), ('C0147', 0.38), ('C0046', 0.37)]"
C0018,"[('C0059', 0.37), ('C0115', 0.36), ('C0177', 0.35)]"
C0019,"[('C0064', 0.64), ('C0049', 0.57), ('C0084', 0.45)]"
C0020,"[('C0026', 0.65), ('C0007', 0.58), ('C0119', 0.56)]"
